you	1651
your	536.9
years	259.0
year	171.1
York	138.0
yet	129.5
young	114.2
yes	64.80
y	38.24
yourself	35.12
youth	25.01
yellow	18.93
younger	17.38
yield	15.03
Yeah	11.43
ye	11.33
yours	9.344
yard	8.933
Y.	8.794
yesterday	8.475
yards	8.402
yields	6.486
Yale	5.947
yelled	4.094
yielded	3.656
yang	3.654
ya	3.424
youngest	3.382
yeast	3.024
yoga	2.936
Yugoslavia	2.759
yielding	2.729
youthful	2.648
yearly	2.639
youths	2.628
yourselves	2.298
Yu	1.984
yelling	1.936
Yankee	1.792
yo	1.766
yuan	1.690
yen	1.667
youngsters	1.547
Yahweh	1.542
Yankees	1.513
Yorkshire	1.500
yell	1.482
yearning	1.467
yin	1.467
Yearbook	1.438
yacht	1.434
yarn	1.417
yon	1.414
Yiddish	1.403
yi	1.358
yoke	1.300
yea	1.280
Yeats	1.248
yer	1.198
Yorker	1.132
yr	1.042
Yugoslav	1.012
yonder	0.9737
yogurt	0.9679
Yates	0.9595
Yoruba	0.9363
yanked	0.9080
Yeltsin	0.8848
Yemen	0.8783
Yellowstone	0.8282
youngster	0.8201
yellowish	0.8091
Yvonne	0.7007
Yep	0.6844
Yan	0.6811
yells	0.6406
Yahoo!	0.6354
yolk	0.6174
yearold	0.5733
yawned	0.5660
Yamamoto	0.5626
Yukon	0.5434
yearned	0.5386
Yao	0.5320
Yves	0.5307
yawning	0.5247
Yucatan	0.5226
Yorkers	0.5016
yew	0.4602
Yom	0.4574
yogi	0.4538
yam	0.4402
YMCA	0.4369
Yuri	0.4359
yawn	0.4314
Yoshida	0.4256
Yusuf	0.4169
yarns	0.4163
yrs	0.4132
yearn	0.4043
yardstick	0.3955
yank	0.3932
Yunnan	0.3929
Yong	0.3797
y'all	0.3790
Yosemite	0.3724
Ying	0.3694
Yamada	0.3643
yeasts	0.3526
Yorktown	0.3428
Yokohama	0.3418
Yahoo	0.3416
Yun	0.3324
yeoman	0.3320
yolks	0.3250
Yolanda	0.3214
Yangtze	0.3126
yachts	0.3101
Yoder	0.3064
yams	0.2864
yellows	0.2662
Yamaguchi	0.2646
yearnings	0.2635
Yeh	0.2616
Yule	0.2603
yore	0.2550
Yitzhak	0.2513
Yorke	0.2441
Yalta	0.2437
Yarmouth	0.2434
Yup	0.2418
Yahya	0.2408
yah	0.2378
Yanks	0.2321
Yehuda	0.2310
Yancey	0.2248
Yee	0.2229
yellowed	0.2217
Ypres	0.2068
ys	0.2040
yearns	0.2037
Yamashita	0.2021
Yama	0.1997
Yoko	0.1992
yellowing	0.1966
Yung	0.1940
Yvette	0.1935
yoked	0.1931
Yosef	0.1878
yt	0.1852
YWCA	0.1842
Yoon	0.1841
yelped	0.1828
Yeager	0.1808
yanking	0.1799
Yeo	0.1741
yogic	0.1715
Yuma	0.1712
yucca	0.1695
Yap	0.1651
yelp	0.1644
Yarrow	0.1626
yoghurt	0.1620
Yoo	0.1603
Yue	0.1552
yeomen	0.1515
Yuen	0.1436
Yeshiva	0.1429
Yonkers	0.1399
yaw	0.1381
Yasser	0.1372
Yonge	0.1327
yak	0.1326
Y2K	0.1322
Youngstown	0.1316
yesteryear	0.1306
Yad	0.1289
Yat	0.1255
yawns	0.1208
youthfulness	0.1188
Yemeni	0.1158
YouTube	0.1104
Yamazaki	0.1062
yummy	0.1041
Yoshikawa	0.1036
yelping	0.1034
Yugoslavian	0.1025
yeux	0.1020
Yardley	0.1016
Yeung	0.1010
y2	0.1002
yokes	0.09340
yearlong	0.09157
yean	0.09017
yuppie	0.08953
y'know	0.08827
yachting	0.08643
Yum	0.08550
yearling	0.08428
Yasuda	0.08398
yardsticks	0.08093
yearolds	0.07990
yapping	0.07896
YM	0.07852
yearbooks	0.07702
YAG	0.07534
yd	0.07485
Yip	0.07253
Youngs	0.07224
yearround	0.07209
Yost	0.07159
youngish	0.06702
yuppies	0.06695
Yuck	0.06638
Y.S.	0.06619
yl	0.06577
yy	0.06574
Yokoyama	0.05941
yelps	0.05873
yn	0.05700
you're	0.05494
Yessir	0.05359
yeomanry	0.05347
Yamaha	0.05242
yesterdays	0.05037
Yikes	0.04949
yogis	0.04769
Yamuna	0.04751
Yakima	0.04411
yous	0.04156
ye'll	0.04148
Yunus	0.03943
YH	0.03818
ye're	0.03691
yonr	0.03562
YC	0.03522
Yano	0.03349
Yadav	0.03289
years.1	0.02972
Yuval	0.02642
Youssef	0.02576
yj	0.02436
Y.C.	0.02304
Yoshimura	0.02271
yere	0.02211
yeare	0.02180
you'll	0.02077
yoking	0.02064
Yazoo	0.02056
ye've	0.01943
yucky	0.01942
yeas	0.01916
yerself	0.01876
yawl	0.01715
yoa	0.01658
Yerkes	0.01584
yow	0.01580
yearlings	0.01484
yeares	0.01475
yit	0.01390
Yau	0.01344
yeasty	0.01317
yf	0.01282
Yamato	0.01257
yews	0.01223
y1	0.01140
ye'd	0.01107
yourn	0.01061
yonng	0.009684
Yamauchi	0.009140
Yes'm	0.009082
yaller	0.008754
Y.M.C.A.	0.008602
years.2	0.008539
Yorkshireman	0.008391
yez	0.008227
yery	0.008016
Yorick	0.007374
year.1	0.007307
yokel	0.007010
Yugoslavs	0.006934
yout	0.006813
youl	0.006763
yachtsman	0.006465
yokels	0.006290
yond	0.006146
yoor	0.005740
youi	0.005531
yellower	0.005210
you've	0.004979
yearningly	0.004909
yester	0.003870
yoar	0.003199
yesternight	0.003001
yowling	0.002689
yellowness	0.002622
yowl	0.002582
yot	0.002474
